episode,robot_pos,target_pos,step
0,"[189.27300925719734, 176.0042213800998, 184.0]","[196, 184]",191
1,"[588.8211336450494, 211.07850307606793, 142.0]","[599, 212]",632
2,"[420.45935323626566, 187.87996701234405, 340.0]","[411, 184]",701
3,"[428.0140693681143, 449.6938401830937, 274.0]","[420, 456]",724
4,"[359.11187611868274, 61.26133092751468, 72.0]","[364, 52]",1033
5,"[545.7323277329292, 307.07832229484325, 48.0]","[546, 297]",643
6,"[412.32136995782963, 239.47705462048555, 204.0]","[416, 249]",857
7,"[719.5652579783709, 121.15350238733842, 178.0]","[727, 128]",790
8,"[77.20493430275849, 283.6589359240722, 16.0]","[72, 275]",1281
9,"[641.8629527657794, 448.6951775968286, 222.0]","[642, 459]",1224
10,"[498.88570714910816, 318.01643031317366, 330.0]","[489, 315]",428
11,"[523.2298467091994, 476.3435786447917, 174.0]","[531, 483]",706
12,"[658.9197066460257, 419.9855758328805, 254.0]","[654, 429]",262
13,"[235.09381547306688, 335.1390635595979, 212.0]","[237, 345]",365
14,"[713.8174641755212, 205.7333516454754, 144.0]","[724, 208]",1123
15,"[457.97401154231403, 528.6571821624347, 176.0]","[466, 535]",287
16,"[158.66129758360896, 510.51791926546537, 4.0]","[152, 503]",957
17,"[700.07451538187, 119.86803975719437, 170.0]","[708, 126]",1324
18,"[173.85690982147077, 98.2351737740261, 40.0]","[173, 88]",751
19,"[666.9862554894829, 486.7542779532861, 260.0]","[661, 495]",519
20,"[617.9893122465804, 516.5565350649792, 258.0]","[612, 525]",844
21,"[120.21033844319696, 128.28168702263443, 98.0]","[128, 122]",350
22,"[357.4472270835346, 260.3371186950471, 116.0]","[367, 257]",637
23,"[590.4336180249769, 370.9317075432469, 220.0]","[591, 381]",527
24,"[666.641803963454, 508.03577518023394, 180.0]","[674, 515]",307
25,"[733.6698717344229, 114.4008414311407, 160.0]","[743, 119]",1555
26,"[229.9541335433972, 411.84127951813883, 322.0]","[220, 410]",810
27,"[694.3781027972951, 400.9070247807223, 214.0]","[696, 411]",980
28,"[99.769597001717, 363.2642083752984, 332.0]","[90, 360]",725
29,"[578.33926650208, 171.47939585037852, 186.0]","[585, 179]",548
30,"[127.69528978228249, 426.1319433582342, 342.0]","[119, 421]",1392
31,"[511.0350003613717, 347.16952957628166, 162.0]","[520, 352]",450
32,"[221.61094333255957, 162.16627630840503, 56.0]","[224, 152]",715
33,"[179.92973286625832, 381.46661965953314, 208.0]","[183, 391]",217
34,"[524.3339016856196, 471.09360790669064, 92.0]","[532, 464]",47
35,"[664.7519910472242, 66.92857351047863, 144.0]","[675, 69]",1193
36,"[77.00395931465397, 320.96925719814794, 324.0]","[67, 319]",933
37,"[231.47727663973149, 468.07838518192403, 254.0]","[226, 477]",704
38,"[210.3509903362234, 294.23303560726475, 22.0]","[206, 285]",172
39,"[288.73838029280193, 410.5856904036211, 298.0]","[279, 413]",766
40,"[727.9116513245899, 216.05948364145905, 170.0]","[736, 222]",1644
41,"[591.686495559993, 281.18055581815696, 166.0]","[600, 287]",1194
42,"[190.39945808539647, 226.22493253454658, 18.0]","[186, 217]",1182
43,"[556.4846280650227, 227.02976853137727, 30.0]","[554, 217]",264
44,"[605.1961978862738, 420.6750285599867, 290.0]","[596, 425]",528
45,"[325.31382021267973, 131.99665366561064, 62.0]","[328, 122]",1020
46,"[280.0565338267375, 463.97434272219016, 16.0]","[275, 455]",1019
47,"[95.82295920877611, 474.12481148223617, 342.0]","[87, 469]",388
48,"[292.51441077646325, 116.2083514726614, 18.0]","[288, 107]",1034
49,"[474.17484028927066, 141.81611895619068, 234.0]","[472, 152]",184
50,"[635.4493977614067, 221.13544313133323, 202.0]","[639, 231]",1304
51,"[311.4516749914381, 365.6818480129288, 358.0]","[304, 359]",830
52,"[441.41501426417943, 86.45049811086282, 46.0]","[442, 76]",946
53,"[334.4811541824818, 525.2066024204325, 204.0]","[338, 535]",519
54,"[313.97854029652626, 265.9864216394885, 330.0]","[304, 263]",796
55,"[511.2378852826604, 394.07893415588586, 286.0]","[502, 399]",544
56,"[230.2493602517975, 149.47953844268466, 358.0]","[223, 142]",976
57,"[160.36762824683672, 192.49160396639724, 94.0]","[168, 186]",612
58,"[525.6732174575922, 322.9371920669613, 232.0]","[524, 333]",797
59,"[147.86142035400007, 422.1779288691065, 12.0]","[142, 414]",1305
60,"[611.5120498723862, 310.18994302150793, 256.0]","[606, 319]",609
61,"[664.6713377265032, 449.31843157964664, 278.0]","[656, 455]",828
62,"[212.67199165917063, 220.36368531041873, 18.0]","[208, 211]",864
63,"[143.36892165469462, 77.01494234149607, 276.0]","[135, 83]",81
64,"[237.0982986832244, 119.06000427343768, 238.0]","[235, 129]",168
65,"[239.03105247306854, 140.38285515395248, 98.0]","[247, 134]",724
66,"[151.85077252568877, 336.2862257393746, 20.0]","[148, 327]",1113
67,"[172.994223513333, 226.70339726375093, 14.0]","[168, 218]",1004
68,"[119.09625936617822, 176.97484478011168, 48.0]","[120, 167]",1205
69,"[416.2403872028521, 294.93346153442025, 150.0]","[426, 298]",640
70,"[741.4323567747368, 383.90128106057415, 216.0]","[743, 394]",1593
71,"[97.24077072646641, 111.58299405195028, 14.0]","[92, 103]",236
72,"[715.814435929518, 460.88387869393824, 226.0]","[715, 471]",1128
73,"[173.6340564719921, 93.05802156981653, 98.0]","[182, 87]",796
74,"[552.9198145240393, 286.8544961032221, 16.0]","[548, 278]",73
75,"[132.2910372881565, 419.97851773949964, 358.0]","[125, 413]",1212
76,"[276.92988049040616, 245.72414538402555, 2.0]","[270, 238]",990
77,"[363.3531381019903, 489.854707138202, 316.0]","[353, 490]",377
78,"[152.16960991027037, 95.18283662976658, 54.0]","[154, 85]",432
79,"[544.4216678108063, 234.79583986998446, 100.0]","[553, 229]",687
80,"[268.6389468519446, 60.218811020371106, 38.0]","[268, 50]",724
81,"[492.6384037754256, 534.2844775640119, 272.0]","[485, 541]",677
82,"[386.77468116894283, 352.51177217407167, 266.0]","[380, 360]",584
83,"[237.29460889660675, 145.37204544768997, 184.0]","[244, 153]",345
84,"[272.19764673455467, 174.3619356636515, 42.0]","[272, 164]",618
85,"[104.19679628126727, 126.20738928132594, 42.0]","[104, 116]",1596
86,"[243.66339586638412, 435.8959667520399, 330.0]","[234, 433]",1382
87,"[257.9379237716059, 462.92398450317654, 256.0]","[253, 472]",847
88,"[273.6303561878462, 445.47524437775536, 208.0]","[277, 455]",181
89,"[643.1546733554248, 479.76896220480296, 190.0]","[649, 488]",1346
90,"[536.9952223717265, 449.1255071342815, 254.0]","[532, 458]",544
91,"[687.6254198342011, 281.17818600124167, 194.0]","[693, 290]",842
92,"[56.56823124156553, 307.0207202179468, 32.0]","[54, 297]",1013
93,"[186.89676691717818, 234.10779054487404, 38.0]","[186, 224]",1308
94,"[192.76216834717192, 176.899163074978, 114.0]","[202, 173]",694
95,"[294.199357821825, 393.6625354550154, 268.0]","[287, 401]",697
96,"[650.1884301944281, 361.9172033723758, 216.0]","[652, 372]",1321
97,"[326.7379680849038, 307.7080317351241, 64.0]","[330, 298]",561
